"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1","99.2811584472656","99.2485504150391","99.2207946777344","99.2048110961914","99.9","99.2356033325195","99.2892532348633","99.3622894287109","99.4482574462891","99.7","99.6331329345703","99.719108581543","99.41","99.66","100","99.8","99.8","99.9","100","100","99.9231567382813","",
"American Samoa","ASM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.9965591430664","100","99.9419784545898","99.888069152832","100","100","100","100","99.9285354614258","99.9664688110352","99.9901428222656","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5551452636719","99.7049277072883","99.5427703857422","99.5347671508789","99.5316162109375","99.5402450561523","99.5675735473633","99.8","99.6985015869141","99.796142578125","99.8952102661133","99.9639358520508","99.9","100","100","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6","50.5398025512695","49.6424751281738","49.9282417297363","50.2119369506836","50.5004806518555","50.8008041381836","45.049504950495","51.4641952514648","51.8341445922852","39.6","52.6257553100586","49","53.4432334899902","58.5","52.4","52.1","56.5364723205566","57.5903930664063","61.8","59.774486541748","60.8230247497559","60.5","62.8334274291992","",
"Belgium","BEL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","44.7813873291016","45.7014350891113","46.6010475158691","47.4984092712402","49.6","49.2304992675781","50.1003570556641","50.981990814209","51.8823280334473","56.6","53.7592735290527","54.7299270629883","55.713508605957","65.4","67","68.6","61.04443359375","55.8","51.67","62.4592590332031","54.2","64.2734985351563","65.1709289550781","66.0655899047852","66.9597854614258","",
"Burkina Faso","BFA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","33.4402618408203","34.6333847045898","35.8138656616211","36.9785537719727","38.1242828369141","39.7","40.3674850463867","41.4629821777344","42.5564002990723","52.4","44.764720916748","45.8934669494629","47.0475654602051","48.227237701416","49.4263038635254","44.41","48.5","53.0752296447754","54.287239074707","55.4863204956055","58.4","58.1647872924805","59.7447471618652","61.3651275634766","62.3","64.5554962158203","66.0954055786133","67.6179809570313","",
"Bangladesh","BGD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.060595224431","67.5852737426758","68.7489700317383","75.2","71.0542449951172","72.1895065307617","79.5","74.4094772338867","75.4895477294922","81.2","77.6154556274414","78.6545486450195","79.6984939575195","76.6","82.61","77.799135031235","82.1","85.1984939575195","86.3561630249023","90.1","90.2","90.5760955810547","88","90.7","93.5731201171875","94.01","99.5","96.5835037231445","97.8","97.8","99.6914825439453","",
"Bulgaria","BGR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","92.7576522827148","93.0439453125","93.3281631469727","93.6172409057617","93.918083190918","94.2376327514648","94.5825271606445","94.9530029296875","95.3428649902344","95.7456665039063","96.1549301147461","96.6038055419922","97.0801773071289","97.4885711669922","97.8119125366211","98.1006774902344","98.4259033203125","98.7795104980469","99.1345443725586","99.448371887207","99.8","99.9","",
"Bahrain","BHR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","99.1050186157227","99.1398620605469","99.3","99.2102584838867","99.259651184082","99.327751159668","99.7146932952924","99.5402221679688","99.6786422729492","99.8299865722656","99.9328308105469","99.7639282341832","99.9992370605469","100","100","100","100","100","100","100","100","100","",
