"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Channel Islands","CHI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Chile","CHL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.458310297133","72.6529187893954","71.4397443359869","74.0618441426621","74.7053747121922","75.4195550331526","74.1794729751692","77.1353797964394","82.9624556298822","79.3576862813837","86.545766045949","82.1771931729168","83.0918062237528","92.7695106105395","85.3031766389546","86.379296120732","96.4189839696739","88.5062165782339","89.5805488503394","97.7480003886174","98.259694376562","97.768645182206","100","100","100","100","100","100","100","100","100","100","",
"China","CHN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9239058542749","95.3749195122501","95.6608090325192","95.9526566759813","96.2579968042699","96.5846511585347","96.9420192890236","97.3318673621536","97.7799976278709","98.3034825006633","99.4091464137797","99.7720847687862","99.8910199474229","99.984996785186","100","100","100","100","100","100","100","100","",
"Cote d'Ivoire","CIV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5857437129987","19.275963754443","20.160078805271","21.0525576857507","21.9540068337895","20.0588223798653","23.804090598651","24.5924463038976","26.8103380289311","26.1394015175659","26.9117373354726","36.1863640590042","34.0842287828888","29.3120099501696","35.5639962134675","30.9979140740626","31.8633013788895","26.2806353880168","25.7784759643301","34.5337084768211","34.3162092444138","39.2256888179019","36.7315379801205","38.3571692422627","40.3741541966745","42.1477215432563","43.7190406352007","45.1913594819485","",
"Cameroon","CMR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1105153508515","6.91980883714873","7.62056580760999","8.31513645719024","9.00685322398649","9.69598041803811","10.3874733739792","10.1794693504608","11.7755709034738","9.22145285438604","13.8618901152128","13.7677580367924","14.3229377791986","19.4741817627906","15.4188562223723","25.8088539892632","6.42658733208806","17.1049665846372","17.6798124452353","16.1099370556936","16.8419190275777","18.2772900128478","19.4837628021507","18.8019468076161","21.1998499680836","21.7973804024794","22.3994700878703","26.2765344038043","23.6067471851388","24.2107214524016","24.8157918814882","",
"Congo, Dem. Rep.","COD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82021744561103","","","","","","","","1","1","1","1","1","1","1","",
"Congo, Rep.","COG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.55685525783537","5.99197195012926","6.39801751584868","6.78325787723247","7.15409690417395","7.22366601342221","7.87736714662794","8.23773000784769","8.59518173873082","9.24517361352285","10.668286927412","10.4579155490182","10.6177829675031","10.3668384000291","10.6723656444538","11.1233843440577","11.5506444222109","11.8079814052513","11.7793486781286","11.382444837685","11.8295938347665","12.3941780854816","",
"Colombia","COL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6868212385103","75.8471989516553","76.2502108157522","76.6736722365437","77.1223700801977","70.8543232552035","78.1224689864064","78.6912050074421","79.3153664125412","80.0003604805767","83.2728263302574","94.2896105012491","82.1038583057049","82.6511385372642","83.2066651937505","88.8729066779625","84.3692072328959","84.9890860004402","86.963158488676","83.7688332244996","86.2368922879806","85.5032364870935","87.0779682889139","90.0737700750495","89.8921484763603","91.7902476160102","92.7619947950945","92.7403397637954","92.6166784645762","97.0589523159486","98.5020509702548","99.9951115050321","",
"Comoros","COM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8805397711065","22.4304393678463","25.0082204275858","27.5858429848953","30.2012349411449","32.677626384884","33.215754212426","37.6018115267166","40.0632384943082","42.5270664051702","45.0006363036114","47.4866475090344","49.9832513882047","52.4877748001755","63.7168947958054","63.2541189519652","63.1179958377029","62.536958807747","65.0463785984331","67.5524474801784","70.0557493991745","72.5573212619835","75.0577782847359","77.55719588066","80.0564793936052","82.8698483095906","",
"Cabo Verde","CPV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7628347889408","33.8882597142845","30.7221609893387","38.2852320881044","40.5771103658112","42.4578649530021","45.4049185266158","47.9574386603673","50.6067288316531","53.3627703647672","65.6837454675678","67.8281939300609","69.5386160702754","71.4929279654307","73.7637533936473","76.2462296013546","78.7831062137958","81.235827920321","84.6087935189956","87.2879014687412","92.6763905567659","96.8563530611066","",
